Pool,Day,Month,Year,Species,1,3,5,7,9,11,13,15,17,19,21,23,25,27,29,31,33,35,37,41
San Miguel,23,4,2003,Alopecurus saccatus,,,,,,,,,,,,,,,,,,,,
San Miguel,23,4,2003,Ambrosia psylostachya,,,,,,,,,,,,,,,,,,,,
San Miguel,23,4,2003,Anagalis arvensis,7,3,1,,,,,,,,1,,,,,,,,,
San Miguel,23,4,2003,Artemesis douglasiana,,,,,,,,,,,,,,,,,,,,
San Miguel,23,4,2003,Aster subulatus,,,,,,,,,,,,,,,,,,,,
San Miguel,23,4,2003,Atriplex lentiformes,,,,,,,,,,,,,,,,,,,,
San Miguel,23,4,2003,Avena barbata,,,,,,,,,,,,,,,,,,,,
San Miguel,23,4,2003,Avena fatua,,,,,,,,,,,,,,,,,,,,
San Miguel,23,4,2003,Baccharis pilularis,,1,1,,,,,,,,,,,,,,,,,
San Miguel,23,4,2003,Brodiea jolonensis,,,,,,,,,,,,,,,,,,,,
San Miguel,23,4,2003,Bromus diandrus,,,,,,,,,,,,,,,,,,,,
San Miguel,23,4,2003,Bromus hordeaceous,,,,,,,,,,,,,,,,,,,,
San Miguel,23,4,2003,Calystegia macrostegia,,,,,,,,,,,,,,,,,,,,
San Miguel,23,4,2003,Capsella bursa-pastoris,,,,,,,,,,,,,,,,,,,,
San Miguel,23,4,2003,Castilleja exserta ,,,,,,,,,,,,,,,,,,,,
San Miguel,23,4,2003,Centunculus minimus,,,,,,,,,,,,,,,,,,,,
San Miguel,23,4,2003,Chamomilla suaveolens,,,,,,,,,,,,,,,,,,,,
San Miguel,23,4,2003,Chenepode?,5,,,,,,,,,,,,,,,,,,,
San Miguel,23,4,2003,Conyza canadensis,,,,,,,,,,,,,,,,,,,,
San Miguel,23,4,2003,Coronopus didymus,,,,,,,,,,,,,,,,,,,,
San Miguel,23,4,2003,Cotula coronopofolia,,,,,,,,,,,,,,,,,,,,
San Miguel,23,4,2003,Crassula aquatica,,,,,,,,,,,,,,,,,,,,
San Miguel,23,4,2003,Cynodon dactylon,,,,,,,,,,,,,,,,,,,,
San Miguel,23,4,2003,Cyperus strigosus? (nut sedge),,,,,,,,,,,1,,,,,,,,,
San Miguel,23,4,2003,Distichlis spicata,,,,,,,,,,,,,,,,,,,,
San Miguel,23,4,2003,Echinochloa crusgalli,,,,,,,,,,,,,,,,,,,,
San Miguel,23,4,2003,Elatine brachysperma,,,,,,,,,,,,,,,,,,,,
San Miguel,23,4,2003,Eleocharis acicularis,,,,,,,,,,,,,,,,,,,,
San Miguel,23,4,2003,Eleocharis macrostachya,,,,,,,,,,,,,,,,,,,,
San Miguel,23,4,2003,Erodium cicutarium,,,,,,,,,,,,,,,,,,,,
San Miguel,23,4,2003,Eremocarpus setigerus,,,,,,,,,,,,,,,,,,,,
San Miguel,23,4,2003,Erodium botrys,,,,,,,,,,,,,,,,,,,,
San Miguel,23,4,2003,Eryngium armatum,,,1,,,,,,,,,,,,,,,,,
